Date,Close,High,Low,Open,Volume
2018-01-02,78.8703384399414,79.2006859790357,78.4574075165561,79.03551220948854,22483800
2018-01-03,79.2374038696289,79.38422813157698,78.88870674895144,78.97129014557262,26061400
2018-01-04,79.93482208251953,80.43952183890868,79.43930059469226,79.45765013084839,21912000
2018-01-05,80.9258804321289,81.12776037303686,80.2284789092566,80.43953712047009,23407100
2018-01-08,81.00843811035156,81.2837301242538,80.38444894634434,80.93502597318206,22113000
2018-01-09,80.9533920288086,81.42138570709598,80.62304437366073,81.34797356129256,19484300
2018-01-10,80.5863037109375,80.92582948881903,80.21007887687405,80.62300976808399,18652200
2018-01-11,80.82492065429688,80.87079799264367,80.0541071598178,80.87079799264367,17808900
2018-01-12,82.2197265625,82.38490040317807,81.16444963599947,81.36632955249135,24271500
2018-01-16,81.07266998291016,83.31169110465434,80.7606789090758,82.67852368885731,36599700
2018-01-17,82.71520233154297,82.84367002534675,81.43969665665946,81.74251636389593,25621200
2018-01-18,82.67853546142578,83.20158474865815,82.27478266138324,82.40325041607417,24159700
2018-01-19,82.58677673339844,83.14653211355778,82.27478560398126,82.71524449268408,36875000
2018-01-22,84.06415557861328,84.07333384660362,82.34818351471458,82.58676947569296,23601600
2018-01-23,84.33025360107422,84.69730724153239,83.99990602475846,84.33025360107422,23412800
2018-01-24,84.2568588256836,85.73424495709853,84.03662939643829,84.92673238255419,33277500
2018-01-25,84.724853515625,85.55989390382558,84.35779979512222,84.85332126765586,26383200
2018-01-26,86.31233978271484,86.31233978271484,84.95425029273008,85.4497717015515,29172200
2018-01-29,86.18389129638672,87.5878654344753,86.00036791922578,87.30340209958543,31569900
2018-01-30,85.1010513305664,85.94527671845078,84.51376836566911,85.61492917557541,38635100
2018-01-31,87.1841049194336,87.54198037402911,85.80765870915316,86.02788814252715,48756300
2018-02-01,86.49585723876953,88.15676628696136,85.87186818736045,86.98220030806556,47227900
2018-02-02,84.22015380859375,86.22976750340277,83.96321830442898,85.92694765879396,47867800
2018-02-05,80.75149536132812,85.55987789757307,80.75149536132812,83.10062753153034,51031500
2018-02-06,83.8072280883789,83.94487411751392,78.22803078172014,79.73294483140248,67998600
2018-02-07,82.2288818359375,84.21096036880702,81.8526499147874,83.03639427511158,41107600
